Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1.0,spançlar,1.0,1.0,yok,1. çekmece,desk çekmeceler,,,,,,
2.0,makas,1.0,1.0,yok,1. çekmece,desk çekmeceler,,,,,,
3.0,oksijen maskeleri,1.0,1.0,yok,2. çekmece,desk çekmeceler,,,,,,
4.0,laringoskop seti,1.0,1.0,yok,2. çekmece,desk çekmeceler,,,,,,
5.0,laringoskop seti,1.0,1.0,yok,3. çekmece,desk çekmeceler,,,,,,
6.0,damaryolu malzemeleri,1.0,1.0,yok,3. çekmece,desk çekmeceler,,,,,,
7.0,ateş ölçer,1.0,1.0,yok,3. çekmece,desk çekmeceler,,,,,,
8.0,ekg elektrodu,1.0,1.0,yok,3. çekmece,desk çekmeceler,,,,,,
1.0,Enjektör 10 ml.,1.0,100.0,SKT-2027-12:1 kutu,desk 1. dolap,desk dolaplar,,,,,,
2.0,Steril Emici Spanç Kompres b-good 4 kat 20*5,4.0,80.0,SKT-2027-10:4 kutu,desk 1. dolap,desk dolaplar,,,,,,
3.0,Steril Pamuklu Ped 12cm*24cm,4.0,4.0,SKT-2024-09:4 kutu,desk 1. dolap,desk dolaplar,,,,,,
4.0,Steril Pamuklu Ped 10cm*10cm tekli paket,100.0,100.0,SKT-2026-06:100 kutu,desk 1. dolap,desk dolaplar,,,,,,
5.0,Elastik Bandaj Hypoallergenic ArtıMed 15*150cm,2.0,2.0,SKT-3000-12:2 kutu,desk 1. dolap,desk dolaplar,,,,,,
6.0,Elastik Bandaj Hypoallergenic ArtıMed 20*150cm,3.0,3.0,SKT-3000-12:3 kutu,desk 1. dolap,desk dolaplar,,,,,,
7.0,Elastik Bandaj Hypoallergenic ArtıMed 10*150cm,2.0,2.0,SKT-3000-12:2 kutu,desk 1. dolap,desk dolaplar,,,,,,
8.0,Elastik Bandaj Hypoallergenic ArtıMed 6*150cm,4.0,4.0,SKT-3000-12:4 kutu,desk 1. dolap,desk dolaplar,,,,,,
9.0,Hidrofil Sargı Bezi 15cm*10m,6.0,6.0,SKT-2019-01:6 kutu,desk 1. dolap,desk dolaplar,,,,,,
10.0,Tulum,4.0,1.0,yok,desk 1. dolap,desk dolaplar,,,,,,
11.0,şişme atel,1.0,1.0,yok,desk 2. açık dolap,desk dolaplar,,,,,,
12.0,tıbbi atık kutusu,4.0,1.0,yok,desk 2. açık dolap,desk dolaplar,,,,,,
13.0,doğum seti,1.0,1.0,yok,desk 2. açık dolap,desk dolaplar,,,,,,
14.0,cenaze torbası,1.0,1.0,yok,desk 2. açık dolap,desk dolaplar,,,,,,
15.0,Tulum tek kullanımlık,2.0,1.0,yok,desk 2. açık dolap,desk dolaplar,,,,,,
16.0,Steril spanç gaz kompres hidrofil,50.0,1.0,2026-05-01 00:00:00,desk 3. dolap açık,desk dolaplar,,,,,,
17.0,Plusmed ecg cihazı,1.0,1.0,yok,desk 3. dolap açık,desk dolaplar,,,,,,
18.0,batarya,2.0,1.0,yok,desk 3. dolap açık,desk dolaplar,,,,,,
19.0,AED plus zoll,1.0,1.0,yok,desk 3. dolap açık,desk dolaplar,,,,,,
20.0,pamuk,1.0,1.0,yok,desk 3. dolap açık,desk dolaplar,,,,,,
21.0,aspiratör devillbiss,1.0,1.0,yok,desk 3. dolap açık,desk dolaplar,,,,,,
1.0,%5 Dekstroz 250 ml.,2.0,2.0,SKT-2026-01:2 kutu,1. dolap 1. raf,1d1r,,,,,,
2.0,%5 Dekstroz 500 ml.,10.0,10.0,"SKT-2027-06:1 kutu, SKT-2026-02:9 kutu",1. dolap 1. raf,1d1r,,,,,,
1.0,%0.9 izotonik sodyum klorür 500 ml.,5.0,5.0,"SKT-2026-12:4 kutu, SKT-2027-07:1 kutu",1. Dolap 2. Raf,1d2r,,,,,,
2.0,%0.9 izotonik sodyum klorür 250 ml.,6.0,6.0,SKT-2026-10:6 kutu,1. Dolap 2. Raf,1d2r,,,,,,
1.0,İzoleks - P %5 Dekstroz 500 ml.,2.0,2.0,SKT-2025-08:2 kutu,1. dolap 3. raf,1d3r,,,,,,
2.0,İZOLEN DENGELİ 500 ML.,6.0,6.0,SKT-2025-12:6 kutu,1. dolap 3. raf,1d3r,,,,,,
3.0,LAKTATLI RİNGER 500 ML.,7.0,7.0,SKT-2025-06:7 kutu,1. dolap 3. raf,1d3r,,,,,,
,,,,,,1d4r,Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer
,,,,,,1d4r,1,ENDOTRAKEAL TÜP KAFLI 6 MM.,2,2,SKT-2026-11:2 kutu,1. dolap 4. raf
,,,,,,1d4r,2,ENDOTRAKEAL TÜP KAFLI 7 MM.,2,2,SKT-2029-04:2 kutu,1. dolap 4. raf
,,,,,,1d4r,3,ENDOTRAKEAL TÜP KAFLI 8 MM.,2,2,SKT-2028-01:2 kutu,1. dolap 4. raf
,,,,,,1d4r,4,ENDOTRAKEAL TÜP KAFLI 4 MM.,2,2,SKT-2028-12:2 kutu,1. dolap 4. raf
,,,,,,1d4r,5,İNFÜZYON SETİ,20,20,"SKT-2026-01:10 kutu, SKT-2026-05:5 kutu, SKT-2028-05:5 kutu",1. dolap 4. raf
,,,,,,1d4r,6,AKTİF KARBON TOZ 100 GR,1,1,SKT-2040-05:1 kutu,1. dolap 4. raf
,,,,,,1d4r,7,TIBBİ ATIK POŞETİ BÜYÜK BOY,2,1,yok,1. dolap 4. raf
,,,,,,1d4r,8,YANIK SETİ,1,1,yok,1. dolap 4. raf
1.0,ENJEKTÖR 10 ML.,200.0,200.0,SKT-2028-06:200 kutu,1. dolap 5. raf,1d5r,,,,,,
2.0,Palintest SU WATER TEST REAGENTS,1.0,100.0,SKT-2029-03:1 kutu,1. dolap 5. raf,1d5r,,,,,,
3.0,ULTRASOUND GEJ JEL 1000 ML.,1.0,1.0,SKT-2019-02:1 kutu,1. dolap 5. raf,1d5r,,,,,,
1.0,NOOTROPIL 1 GR 12 AMPUL,1.0,12.0,SKT-2027-09:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
2.0,PREDNOL-L 250 MG 1 AMPUL,2.0,2.0,"SKT-2026-10:1 kutu, SKT-2027-07:1 kutu",2. Dolap 1. Raf,2d1r,,,,,,
3.0,PREDNOL-L 40 MG 1 AMPUL,6.0,6.0,"SKT-2027-11:1 kutu, SKT-2027-03:3 kutu, SKT-2028-01:2 kutu",2. Dolap 1. Raf,2d1r,,,,,,
4.0,METPAMID 10 MG 5 AMPUL,2.0,2.0,SKT-2028-11:2 kutu,2. Dolap 1. Raf,2d1r,,,,,,
5.0,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),3.0,18.0,"SKT-2026-12:1 kutu, SKT-2025-07:1 kutu, SKT-2025-10:1 kutu",2. Dolap 1. Raf,2d1r,,,,,,
6.0,CORTIPOL 250 MG I.M./I.V. ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU (1 AMPUL + 1 ENJEKSIYONLUK SU ICEREN AMPUL),1.0,1.0,SKT-2025-07:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
7.0,"TURKTIPSAN FENIRAMIN MALEAT 45,5 MG/2 ML IM/IV ENJEKSIYONLUK COZELTI (5 AMPUL)",3.0,15.0,"SKT-2025-08:1 kutu, SKT-2026-02:1 kutu, SKT-2025-07:1 kutu",2. Dolap 1. Raf,2d1r,,,,,,
8.0,DEKORT 2 ML 8 MG 1 AMPUL,8.0,8.0,"SKT-2026-02:1 kutu, SKT-2027-05:3 kutu, SKT-2026-01:2 kutu, SKT-2028-05:1 kutu, SKT-2026-12:1 kutu",2. Dolap 1. Raf,2d1r,,,,,,
9.0,MUSCORIL 4 MG 2 ML 6 AMPUL,1.0,6.0,SKT-2026-05:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
10.0,DICLOMEC 3 ML 75 MG 10 AMPUL,2.0,20.0,"SKT-2027-01:1 kutu, SKT-2025-10:1 kutu",2. Dolap 1. Raf,2d1r,,,,,,
11.0,NOVALGIN 2 ML 10 AMPUL,3.0,30.0,"SKT-2025-05:2 kutu, SKT-2025-04:1 kutu",2. Dolap 1. Raf,2d1r,,,,,,
12.0,MAGNEZYUM SULFAT %15 10 ML,1.0,10.0,SKT-2027-10:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
13.0,OKSAMEN-L 20 MG 1 FLAKON,4.0,4.0,"SKT-2026-05:1 kutu, SKT-2026-06:3 kutu",2. Dolap 1. Raf,2d1r,,,,,,
14.0,LASIX 20 MG/2 ML 5 AMPUL,3.0,15.0,SKT-2025-03:3 kutu,2. Dolap 1. Raf,2d1r,,,,,,
15.0,DOPADREN 200 MG/5 ML ENJEKSIYONLUK SOLUSYON ICEREN 5 AMPUL,1.0,5.0,SKT-2024-12:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
16.0,DILTIZEM 25 MG 1 FLAKON,2.0,2.0,SKT-2025-04:2 kutu,2. Dolap 1. Raf,2d1r,,,,,,
17.0,FUROMID 20 MG 5 AMPUL,1.0,5.0,SKT-2027-05:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
18.0,"DIGOXIN - ASSOS 0,5 MG /2 ML IV ENJEKSIYONLUK COZELTI 5 AMPUL",1.0,5.0,SKT-2028-02:1 kutu,2. Dolap 1. Raf,2d1r,,,,,,
1.0,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,1.0,30.0,SKT-2025-11:1 kutu,2. dolap 2. raf,2d2r,,,,,,
2.0,DIKLORON 25 MG 30 FILM TABLET,1.0,30.0,SKT-2027-09:1 kutu,2. dolap 2. raf,2d2r,,,,,,
3.0,PAROL 500 MG 30 TABLET,2.0,60.0,"SKT-2026-12:1 kutu, SKT-2028-10:1 kutu",2. dolap 2. raf,2d2r,,,,,,
4.0,APRANAX FORTE 550 MG 10 FILM KAPLI TABLET,1.0,10.0,SKT-2028-12:1 kutu,2. dolap 2. raf,2d2r,,,,,,
5.0,LODINE 300 MG 10 FILM TABLET,2.0,20.0,SKT-2026-05:2 kutu,2. dolap 2. raf,2d2r,,,,,,
6.0,ARVELES 25 MG 20 FILM TABLET,1.0,20.0,SKT-2026-02:1 kutu,2. dolap 2. raf,2d2r,,,,,,
7.0,REFLOR 250 MG LIYOFILIZE TOZ ICEREN 10 SASE,1.0,10.0,SKT-2027-01:1 kutu,2. dolap 2. raf,2d2r,,,,,,
8.0,buscopan 10 mg 20 tb,2.0,40.0,SKT-2024-10:2 kutu,2. dolap 2. raf,2d2r,,,,,,
9.0,METPAMID 10 MG 30 TABLET,2.0,60.0,"SKT-2026-08:1 kutu, SKT-2026-10:1 kutu",2. dolap 2. raf,2d2r,,,,,,
10.0,ALLERSET 10 MG FILM KAPLI TABLET (20 FILM KAPLI TABLET),1.0,20.0,SKT-2025-11:1 kutu,2. dolap 2. raf,2d2r,,,,,,
11.0,"AVIL 22,7 MG TABLET",1.0,20.0,SKT-2025-12:1 kutu,2. dolap 2. raf,2d2r,,,,,,
12.0,MUSCORIL 4 MG 20 KAPSUL,1.0,20.0,SKT-2026-03:1 kutu,2. dolap 2. raf,2d2r,,,,,,
13.0,CORDARONE BT 200 MG 30 TABLET,2.0,60.0,SKT-2025-03:2 kutu,2. dolap 2. raf,2d2r,,,,,,
14.0,"TALCID 0,5 GR 40 CIG.TABLETI",2.0,80.0,"SKT-2027-08:1 kutu, SKT-2028-01:1 kutu",2. dolap 2. raf,2d2r,,,,,,
15.0,ISORDIL 5 MG SUBLINGUAL 50 TABLET,1.0,50.0,SKT-2025-06:1 kutu,2. dolap 2. raf,2d2r,,,,,,
16.0,BELOC ZOK 25 MG 20 KONT.SAL.FILM TABLETI,1.0,20.0,SKT-2025-12:1 kutu,2. dolap 2. raf,2d2r,,,,,,
17.0,KAPRIL 25 MG 48 TABLET,2.0,96.0,"SKT-2027-04:1 kutu, SKT-2025-05:1 kutu",2. dolap 2. raf,2d2r,,,,,,
18.0,ECOPIRIN 300 MG 30 ENTERIK KAPLI TABLET,1.0,30.0,SKT-2025-09:1 kutu,2. dolap 2. raf,2d2r,,,,,,
19.0,CORASPIN 300 MG 30 TABLET,1.0,30.0,SKT-2026-02:1 kutu,2. dolap 2. raf,2d2r,,,,,,
20.0,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,1.0,28.0,SKT-2026-06:1 kutu,2. dolap 2. raf,2d2r,,,,,,
1.0,JELGO 50 G JEL,1.0,1.0,SKT-2026-07:1 kutu,2. dolap 3. raf,2d3r,,,,,,
2.0,"FURADERM % 0,2 56 GR POMAD",1.0,1.0,SKT-2027-11:1 kutu,2. dolap 3. raf,2d3r,,,,,,
3.0,"JETOKAIN 20 MG/ML+0,0125 MG/ML ENJEKSIYONLUK COZELTI",4.0,80.0,"SKT-2024-12:2 kutu, SKT-2027-11:1 kutu, SKT-2028-10:1 kutu",2. dolap 3. raf,2d3r,,,,,,
4.0,Clorethyl Soğutucu Sprey,2.0,2.0,SKT-2024-10:2 kutu,2. dolap 3. raf,2d3r,,,,,,
5.0,"TOBSIN % 0,3 5 ML OFTALMIK SOLUSYON",2.0,2.0,SKT-2026-08:2 kutu,2. dolap 3. raf,2d3r,,,,,,
6.0,CITANEST %2 ENJEKSIYONLUK SOLUSYON ICEREN 20 ML 1 FLAKON,1.0,1.0,SKT-2025-12:1 kutu,2. dolap 3. raf,2d3r,,,,,,
7.0,NOVAQUA TEK DOZLUK GOZ DAMLASI 30 FLAKON,1.0,30.0,SKT-2025-10:1 kutu,2. dolap 3. raf,2d3r,,,,,,
8.0,SODYUM BIC.MOL.%8.4 10 ML 10 AMPUL,2.0,20.0,SKT-2027-10:2 kutu,2. dolap 3. raf,2d3r,,,,,,
9.0,SILVERDIN % 1 40 GR KREM,1.0,1.0,SKT-2025-12:1 kutu,2. dolap 3. raf,2d3r,,,,,,
10.0,"TIYOKAS MONO 12,5 MG/1 G JEL (60 G)",1.0,1.0,SKT-2026-02:1 kutu,2. dolap 3. raf,2d3r,,,,,,
11.0,CALPOL 120 MG 150 ML SUSPANSIYON,1.0,1.0,SKT-2025-11:1 kutu,2. dolap 3. raf,2d3r,,,,,,
12.0,CALCIUM PICKEN %10 ENJEKSIYONLUK COZELTI (5 AMPUL),1.0,5.0,SKT-2026-01:1 kutu,2. dolap 3. raf,2d3r,,,,,,
13.0,IV Cannula Mavi Branül,34.0,34.0,SKT-2026-11:34 kutu,2. dolap 3. raf,2d3r,,,,,,
14.0,Airway Yeşil 3/80,1.0,1.0,SKT-2029-06:1 kutu,2. dolap 3. raf,2d3r,,,,,,
15.0,Airway Kırmızı 5/100,1.0,1.0,SKT-2028-11:1 kutu,2. dolap 3. raf,2d3r,,,,,,
16.0,Airway Sarı 4/90,1.0,1.0,SKT-2029-04:1 kutu,2. dolap 3. raf,2d3r,,,,,,
17.0,Airway Siyah 1/60,1.0,1.0,SKT-2029-03:1 kutu,2. dolap 3. raf,2d3r,,,,,,
18.0,Airway Beyaz 2/70,1.0,1.0,SKT-2029-04:1 kutu,2. dolap 3. raf,2d3r,,,,,,
19.0,Airway Mavi 0/50,1.0,1.0,SKT-2028-02:1 kutu,2. dolap 3. raf,2d3r,,,,,,
20.0,İnsülin İğnesi 1 ml BD Micro Fine Plus,3.0,3.0,SKT-2028-07:3 kutu,2. dolap 3. raf,2d3r,,,,,,
21.0,IV Cannula Yeşil Branül Kateter,10.0,10.0,SKT-2024-07:10 kutu,2. dolap 3. raf,2d3r,,,,,,
22.0,IV Cannula Sarı Branül Kateter,19.0,19.0,SKT-2026-11:19 kutu,2. dolap 3. raf,2d3r,,,,,,
23.0,IV Cannula Pembe Branül Kateter,11.0,11.0,SKT-2024-08:11 kutu,2. dolap 3. raf,2d3r,,,,,,
24.0,IV Cannula Mor Branül Kateter,4.0,4.0,SKT-2024-07:4 kutu,2. dolap 3. raf,2d3r,,,,,,
1.0,IV Cannula Mavi Branül Kateter,50.0,1.0,2028-10-01 00:00:00,2. dolap 4. raf,2d4r,,,,,,
2.0,IV Cannula Pembe Branül Kateter,15.0,1.0,2027-06-01 00:00:00,2. dolap 4. raf,2d4r,,,,,,
3.0,Silikon Foley Sonda 20 FR,1.0,1.0,SKT-2025-02:1 kutu,2. dolap 4. raf,2d4r,,,,,,
4.0,Silikon Foley Sonda 18 FR,1.0,1.0,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r,,,,,,
5.0,Silikon Foley Sonda 16 FR,2.0,2.0,"SKT-3000-12:1 kutu, SKT-2023-11:1 kutu",2. dolap 4. raf,2d4r,,,,,,
6.0,Laryngeal Mask adult 4,2.0,1.0,2017-12-01 00:00:00,2. dolap 4. raf,2d4r,,,,,,
7.0,Laryngeal Mask pediatric 2,2.0,1.0,2017-10-01 00:00:00,2. dolap 4. raf,2d4r,,,,,,
8.0,Airway Yeşil 3/80,5.0,5.0,SKT-3000-12:5 kutu,2. dolap 4. raf,2d4r,,,,,,
9.0,Airway Kırmızı 5/100,3.0,3.0,"SKT-2018-12:1 kutu, SKT-3000-12:2 kutu",2. dolap 4. raf,2d4r,,,,,,
10.0,Airway Sarı 4/90,2.0,2.0,SKT-3000-12:2 kutu,2. dolap 4. raf,2d4r,,,,,,
11.0,Airway Beyaz 2/70,3.0,3.0,SKT-3000-12:3 kutu,2. dolap 4. raf,2d4r,,,,,,
12.0,Airway Mavi 0/50,1.0,1.0,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r,,,,,,
13.0,Airway Siyah 1/60,1.0,1.0,SKT-3000-12:1 kutu,2. dolap 4. raf,2d4r,,,,,,
14.0,İdrar Torbası Musluklu 2000 ml.,2.0,2.0,SKT-2025-03:2 kutu,2. dolap 4. raf,2d4r,,,,,,
15.0,Ambu Seti Erişkin,1.0,1.0,yok,2. dolap 4. raf,2d4r,,,,,,
16.0,Ambu Seti Pediatrik,1.0,1.0,yok,2. dolap 4. raf,2d4r,,,,,,
1.0,KAPRIL 25 MG 48 TABLET,3.0,144.0,"SKT-2025-09:2 kutu, SKT-2025-05:1 kutu",2. dolap 5. raf kutu,2d5r,,,,,,
2.0,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),2.0,12.0,SKT-2025-10:2 kutu,2. dolap 5. raf kutu,2d5r,,,,,,
3.0,"ZADITEN % 0,025 STERIL GOZ DAMLASI 5 ML",1.0,1.0,SKT-2025-07:1 kutu,2. dolap 5. raf kutu,2d5r,,,,,,
